,data_0x,data_3x,data_5x,data_10x
1,0,32.0,37.0,0.0
2,57,0.0,0.0,0.0
3,26,0.0,0.0,0.0
4,8,0.0,0.0,0.0
5,0,31.0,0.0,0.0
6,10,0.0,0.0,0.0
7,42,0.0,0.0,0.0
8,43,0.0,0.0,0.0
9,0,8.0,0.0,0.0
10,29,0.0,0.0,0.0
11,17,0.0,0.0,0.0
12,57,0.0,0.0,0.0
13,17,0.0,0.0,0.0
14,0,4.0,0.0,0.0
15,24,0.0,0.0,0.0
16,29,0.0,0.0,0.0
17,53,0.0,0.0,0.0
18,0,42.0,58.0,0.0
19,71,0.0,0.0,0.0
20,44,0.0,0.0,0.0
21,38,0.0,0.0,0.0
22,6,0.0,0.0,0.0
23,34,0.0,0.0,0.0
24,0,58.0,0.0,0.0
25,0,33.0,0.0,0.0
26,81,0.0,0.0,0.0
27,45,0.0,0.0,0.0
28,22,0.0,0.0,0.0
29,23,0.0,0.0,0.0
30,14,0.0,0.0,0.0
31,0,16.0,90.0,0.0
32,0,22.0,0.0,0.0
33,61,13.0,0.0,0.0
34,67,0.0,0.0,0.0
35,8,0.0,0.0,0.0
36,0,4.0,62.0,0.0
37,7,0.0,0.0,0.0
38,83,24.0,0.0,0.0
39,0,46.0,54.0,0.0
40,49,0.0,0.0,0.0
41,10,0.0,0.0,0.0
42,19,0.0,0.0,0.0
43,49,0.0,0.0,0.0
44,9,0.0,0.0,0.0
45,6,0.0,0.0,0.0
46,11,0.0,0.0,0.0
47,70,28.0,0.0,0.0
48,23,0.0,0.0,0.0
49,75,0.0,0.0,0.0
50,33,0.0,0.0,0.0
51,14,0.0,0.0,0.0
52,0,6.0,0.0,0.0
53,25,0.0,0.0,0.0
54,0,38.0,95.0,0.0
55,8,0.0,0.0,0.0
56,16,0.0,0.0,0.0
57,0,12.0,25.0,0.0
58,0,7.0,0.0,0.0
59,50,0.0,0.0,0.0
60,26,0.0,0.0,0.0
61,0,16.0,0.0,0.0
62,23,0.0,0.0,0.0
63,0,16.0,0.0,0.0
64,9,0.0,0.0,0.0
65,88,41.0,0.0,0.0
66,49,0.0,0.0,0.0
67,11,0.0,0.0,0.0
68,70,17.0,0.0,0.0
69,9,0.0,0.0,0.0
70,8,0.0,0.0,0.0
71,10,0.0,0.0,0.0
72,10,0.0,0.0,0.0
73,0,26.0,0.0,0.0
74,0,74.0,0.0,0.0
75,12,0.0,0.0,0.0
76,85,37.0,0.0,0.0
77,13,0.0,0.0,0.0
78,13,0.0,0.0,0.0
79,34,0.0,0.0,0.0
80,14,0.0,0.0,0.0
81,11,0.0,0.0,0.0
82,18,0.0,0.0,0.0
83,50,0.0,0.0,0.0
84,19,0.0,0.0,0.0
85,28,0.0,0.0,0.0
86,44,0.0,0.0,0.0
87,39,0.0,0.0,0.0
88,15,0.0,0.0,0.0
89,12,0.0,0.0,0.0
90,13,0.0,0.0,0.0
91,0,42.0,0.0,0.0
92,0,48.0,58.0,0.0
93,0,30.0,76.0,0.0
94,23,0.0,0.0,0.0
95,0,54.0,0.0,0.0
96,0,14.0,43.0,0.0
97,20,0.0,0.0,0.0
98,9,0.0,0.0,0.0
99,19,0.0,0.0,0.0
100,100,64.0,0.0,0.0
101,24,0.0,0.0,0.0
102,0,42.0,0.0,0.0
103,100,45.0,0.0,0.0
104,0,45.0,0.0,0.0
105,46,0.0,0.0,0.0
106,25,0.0,0.0,0.0
107,23,0.0,0.0,0.0
108,24,0.0,0.0,0.0
109,78,41.0,0.0,0.0
110,8,0.0,0.0,0.0
111,0,10.0,31.0,0.0
112,0,15.0,24.0,0.0
113,13,0.0,0.0,0.0
114,14,0.0,0.0,0.0
115,0,88.0,0.0,0.0
116,27,0.0,0.0,0.0
117,80,7.0,0.0,0.0
118,67,0.0,0.0,0.0
119,9,0.0,0.0,0.0
120,0,30.0,0.0,0.0
121,0,45.0,52.0,0.0
122,10,0.0,0.0,0.0
123,10,0.0,0.0,0.0
124,9,0.0,0.0,0.0
125,0,61.0,0.0,0.0
126,14,0.0,0.0,0.0
127,8,0.0,0.0,0.0
128,13,0.0,0.0,0.0
129,11,0.0,0.0,0.0
130,10,0.0,0.0,0.0
131,0,0.0,0.0,0.0
132,17,0.0,0.0,0.0
133,0,23.0,0.0,0.0
134,46,0.0,0.0,0.0
135,0,19.0,0.0,0.0
136,33,0.0,0.0,0.0
137,0,34.0,0.0,0.0
138,18,0.0,0.0,0.0
139,0,32.0,0.0,0.0
140,24,0.0,0.0,0.0
141,13,0.0,0.0,0.0
142,61,0.0,0.0,0.0
143,0,14.0,0.0,0.0
144,0,28.0,0.0,0.0
145,19,0.0,0.0,0.0
146,9,0.0,0.0,0.0
147,17,0.0,0.0,0.0
148,14,0.0,0.0,0.0
149,17,0.0,0.0,0.0
150,13,0.0,0.0,0.0
151,36,0.0,0.0,0.0
152,0,0.0,0.0,0.0
153,24,0.0,0.0,0.0
154,0,40.0,44.0,0.0
155,0,44.0,0.0,0.0
156,9,0.0,0.0,0.0
157,22,0.0,0.0,0.0
158,11,0.0,0.0,0.0
159,0,68.0,0.0,0.0
160,100,0.0,0.0,0.0
161,6,0.0,0.0,0.0
162,8,0.0,0.0,0.0
163,19,0.0,0.0,0.0
164,0,18.0,45.0,0.0
165,21,0.0,0.0,0.0
166,25,0.0,0.0,0.0
167,15,0.0,0.0,0.0
168,0,21.0,71.0,0.0
169,48,0.0,0.0,0.0
170,0,26.0,85.0,0.0
171,37,0.0,0.0,0.0
172,36,0.0,0.0,0.0
173,17,0.0,0.0,0.0
174,15,0.0,0.0,0.0
175,6,0.0,0.0,0.0
176,0,9.0,0.0,0.0
177,0,9.0,0.0,0.0
178,88,14.0,0.0,0.0
179,21,0.0,0.0,0.0
180,0,63.0,0.0,0.0
181,0,43.0,92.0,0.0
182,10,0.0,0.0,0.0
183,9,0.0,0.0,0.0
184,9,0.0,0.0,0.0
185,11,0.0,0.0,0.0
186,55,0.0,0.0,0.0
187,0,21.0,0.0,0.0
188,0,0.0,0.0,0.0
189,8,0.0,0.0,0.0
190,0,0.0,0.0,0.0
191,15,0.0,0.0,0.0
192,64,0.0,0.0,0.0
193,18,0.0,0.0,0.0
194,70,20.0,0.0,0.0
195,13,0.0,0.0,0.0
196,86,14.0,0.0,0.0
197,27,0.0,0.0,0.0
198,17,0.0,0.0,0.0
199,35,0.0,0.0,0.0
200,30,0.0,0.0,0.0
201,0,52.0,0.0,0.0
202,0,27.0,0.0,0.0
203,8,0.0,0.0,0.0
204,95,0.0,0.0,0.0
205,10,0.0,0.0,0.0
206,53,0.0,0.0,0.0
207,34,0.0,0.0,0.0
208,11,0.0,0.0,0.0
209,22,0.0,0.0,0.0
210,0,6.0,78.0,0.0
211,39,0.0,0.0,0.0
212,12,0.0,0.0,0.0
213,9,0.0,0.0,0.0
214,17,0.0,0.0,0.0
215,13,0.0,0.0,0.0
216,13,0.0,0.0,0.0
217,74,0.0,0.0,0.0
218,10,0.0,0.0,0.0
219,27,0.0,0.0,0.0
