,data_0x,data_3x,data_5x,data_10x
1,0,0,0.0,0.0
2,28,0,0.0,0.0
3,0,50,0.0,0.0
4,0,41,44.0,0.0
5,58,0,0.0,0.0
6,43,0,0.0,0.0
7,26,0,0.0,0.0
8,0,20,35.0,0.0
9,0,0,0.0,0.0
10,0,74,76.0,0.0
11,0,0,0.0,0.0
12,27,0,0.0,0.0
13,14,0,0.0,0.0
14,15,0,0.0,0.0
15,85,0,0.0,0.0
16,0,0,0.0,0.0
17,13,0,0.0,0.0
18,36,0,0.0,0.0
19,19,0,0.0,0.0
20,0,0,0.0,0.0
21,66,53,0.0,0.0
22,20,0,0.0,0.0
23,17,0,0.0,0.0
24,0,0,0.0,0.0
25,26,0,0.0,0.0
26,31,0,0.0,0.0
27,0,0,0.0,0.0
28,59,0,0.0,0.0
29,80,0,0.0,0.0
30,36,0,0.0,0.0
31,0,0,0.0,0.0
32,23,0,0.0,0.0
33,15,0,0.0,0.0
34,0,99,0.0,0.0
35,21,0,0.0,0.0
36,18,0,0.0,0.0
37,46,0,0.0,0.0
38,84,0,0.0,0.0
39,0,0,0.0,0.0
40,0,0,0.0,0.0
41,0,0,0.0,0.0
42,0,100,0.0,0.0
43,41,0,0.0,0.0
44,0,75,0.0,0.0
45,73,0,0.0,0.0
46,0,0,0.0,0.0
47,38,0,0.0,0.0
48,0,60,0.0,0.0
49,0,17,44.0,0.0
50,18,0,0.0,0.0
51,44,0,0.0,0.0
52,0,34,0.0,0.0
53,80,0,0.0,0.0
54,0,0,0.0,0.0
55,0,0,0.0,0.0
56,0,85,0.0,0.0
57,66,0,0.0,0.0
58,18,0,0.0,0.0
59,40,0,0.0,0.0
60,34,0,0.0,0.0
61,43,0,0.0,0.0
62,38,0,0.0,0.0
63,49,0,0.0,0.0
64,35,0,0.0,0.0
65,37,0,0.0,0.0
66,40,0,0.0,0.0
67,0,0,0.0,0.0
68,87,0,0.0,0.0
69,0,38,82.0,0.0
70,0,0,0.0,0.0
71,43,0,0.0,0.0
72,25,0,0.0,0.0
73,81,0,0.0,0.0
74,0,35,0.0,0.0
75,65,0,0.0,0.0
76,0,0,0.0,0.0
77,30,0,0.0,0.0
78,0,64,0.0,0.0
79,36,0,0.0,0.0
80,0,0,0.0,0.0
81,0,0,0.0,0.0
82,14,0,0.0,0.0
83,0,0,0.0,0.0
84,0,59,0.0,0.0
85,35,0,0.0,0.0
86,31,0,0.0,0.0
87,26,0,0.0,0.0
88,36,0,0.0,0.0
89,53,0,0.0,0.0
90,90,77,0.0,0.0
91,33,0,0.0,0.0
92,63,0,0.0,0.0
93,87,0,0.0,0.0
94,0,68,0.0,0.0
95,34,0,0.0,0.0
96,0,0,0.0,0.0
97,0,0,0.0,0.0
98,17,0,0.0,0.0
99,33,0,0.0,0.0
100,0,0,0.0,0.0
101,23,0,0.0,0.0
102,0,0,0.0,0.0
103,71,0,0.0,0.0
104,82,0,0.0,0.0
105,20,0,0.0,0.0
106,0,0,0.0,0.0
107,39,0,0.0,0.0
108,81,0,0.0,0.0
109,21,0,0.0,0.0
110,32,0,0.0,0.0
111,79,0,0.0,0.0
112,0,0,0.0,0.0
113,51,0,0.0,0.0
114,38,0,0.0,0.0
115,57,0,0.0,0.0
116,18,0,0.0,0.0
117,0,0,0.0,0.0
118,0,88,0.0,0.0
119,76,0,0.0,0.0
120,25,0,0.0,0.0
121,0,0,0.0,0.0
122,42,0,0.0,0.0
123,0,0,0.0,0.0
124,17,0,0.0,0.0
125,33,0,0.0,0.0
126,92,0,0.0,0.0
127,0,0,0.0,0.0
128,61,0,0.0,0.0
129,41,0,0.0,0.0
130,67,0,0.0,0.0
131,24,0,0.0,0.0
132,0,0,0.0,0.0
133,43,0,0.0,0.0
134,44,0,0.0,0.0
135,60,0,0.0,0.0
136,53,0,0.0,0.0
137,0,36,83.0,0.0
138,68,0,0.0,0.0
139,63,0,0.0,0.0
140,38,0,0.0,0.0
141,0,44,81.0,0.0
142,45,0,0.0,0.0
143,0,82,0.0,0.0
144,59,0,0.0,0.0
145,90,0,0.0,0.0
146,80,0,0.0,0.0
147,0,90,0.0,0.0
148,15,0,0.0,0.0
149,0,39,0.0,0.0
150,0,0,0.0,0.0
151,93,0,0.0,0.0
152,0,85,0.0,0.0
153,42,0,0.0,0.0
154,0,0,0.0,0.0
155,23,0,0.0,0.0
156,0,0,0.0,0.0
157,49,0,0.0,0.0
158,33,0,0.0,0.0
159,23,0,0.0,0.0
160,63,0,0.0,0.0
161,0,0,0.0,0.0
162,35,0,0.0,0.0
163,0,0,0.0,0.0
164,0,88,0.0,0.0
165,15,0,0.0,0.0
166,54,0,0.0,0.0
167,82,0,0.0,0.0
168,58,0,0.0,0.0
169,41,0,0.0,0.0
170,0,35,0.0,0.0
171,21,0,0.0,0.0
172,16,0,0.0,0.0
173,0,0,0.0,0.0
174,84,0,0.0,0.0
175,36,0,0.0,0.0
176,14,0,0.0,0.0
177,61,0,0.0,0.0
178,30,0,0.0,0.0
179,0,0,0.0,0.0
180,30,0,0.0,0.0
181,61,0,0.0,0.0
182,40,0,0.0,0.0
183,0,0,0.0,0.0
184,0,0,0.0,0.0
185,62,0,0.0,0.0
186,78,0,0.0,0.0
187,0,0,0.0,0.0
188,34,0,0.0,0.0
189,21,0,0.0,0.0
190,0,0,0.0,0.0
191,34,0,0.0,0.0
192,0,0,0.0,0.0
193,0,0,0.0,0.0
194,50,24,0.0,0.0
195,76,0,0.0,0.0
196,0,0,0.0,0.0
197,42,0,0.0,0.0
198,39,0,0.0,0.0
199,73,0,0.0,0.0
200,0,0,0.0,0.0
201,44,0,0.0,0.0
202,0,0,0.0,0.0
203,0,0,0.0,0.0
204,29,0,0.0,0.0
205,33,0,0.0,0.0
206,0,74,0.0,0.0
207,27,0,0.0,0.0
208,0,44,0.0,0.0
209,86,0,0.0,0.0
210,37,0,0.0,0.0
211,20,0,0.0,0.0
212,45,0,0.0,0.0
213,50,0,0.0,0.0
214,100,0,0.0,0.0
215,0,0,0.0,0.0
216,0,0,0.0,0.0
217,0,79,80.0,0.0
218,44,0,0.0,0.0
219,70,0,0.0,0.0
220,38,0,0.0,0.0
221,14,0,0.0,0.0
222,36,30,0.0,0.0
223,14,0,0.0,0.0
224,69,0,0.0,0.0
225,32,0,0.0,0.0
226,21,0,0.0,0.0
227,23,0,0.0,0.0
228,0,0,0.0,0.0
229,99,0,0.0,0.0
230,0,0,0.0,0.0
231,21,0,0.0,0.0
232,42,0,0.0,0.0
233,56,0,0.0,0.0
234,31,0,0.0,0.0
235,20,0,0.0,0.0
236,23,0,0.0,0.0
237,21,0,0.0,0.0
238,0,0,0.0,0.0
239,57,0,0.0,0.0
240,36,0,0.0,0.0
241,39,0,0.0,0.0
242,32,0,0.0,0.0
243,33,0,0.0,0.0
244,0,0,0.0,0.0
245,88,26,0.0,0.0
246,15,0,0.0,0.0
247,16,0,0.0,0.0
248,0,0,0.0,0.0
249,21,0,0.0,0.0
250,0,16,0.0,0.0
251,42,0,0.0,0.0
252,11,0,0.0,0.0
253,28,0,0.0,0.0
254,0,0,0.0,0.0
255,0,0,0.0,0.0
256,0,0,0.0,0.0
257,21,0,0.0,0.0
258,21,0,0.0,0.0
259,35,0,0.0,0.0
260,0,0,0.0,0.0
261,76,0,0.0,0.0
262,0,0,0.0,0.0
263,44,0,0.0,0.0
264,88,53,0.0,0.0
265,39,0,0.0,0.0
266,32,0,0.0,0.0
267,22,0,0.0,0.0
268,0,0,0.0,0.0
269,14,0,0.0,0.0
270,75,0,0.0,0.0
271,81,73,0.0,0.0
272,21,0,0.0,0.0
273,44,0,0.0,0.0
274,23,0,0.0,0.0
275,16,0,0.0,0.0
276,0,0,0.0,0.0
277,0,0,0.0,0.0
278,72,0,0.0,0.0
279,40,0,0.0,0.0
280,40,0,0.0,0.0
281,0,0,0.0,0.0
282,29,0,0.0,0.0
283,30,0,0.0,0.0
284,0,65,0.0,0.0
285,34,0,0.0,0.0
286,0,0,0.0,0.0
287,0,0,0.0,0.0
288,0,0,0.0,0.0
289,0,0,0.0,0.0
290,0,77,0.0,0.0
291,0,0,0.0,0.0
292,58,0,0.0,0.0
293,0,0,0.0,0.0
294,90,0,0.0,0.0
295,36,0,0.0,0.0
296,66,0,0.0,0.0
297,15,0,0.0,0.0
298,85,0,0.0,0.0
299,37,0,0.0,0.0
300,13,0,0.0,0.0
301,0,0,0.0,0.0
302,12,0,0.0,0.0
303,59,0,0.0,0.0
304,23,0,0.0,0.0
305,0,0,0.0,0.0
306,0,0,0.0,0.0
307,0,0,0.0,0.0
308,0,0,0.0,0.0
309,19,0,0.0,0.0
310,43,0,0.0,0.0
311,33,0,0.0,0.0
312,26,0,0.0,0.0
313,51,0,0.0,0.0
314,12,0,0.0,0.0
315,50,0,0.0,0.0
316,41,0,0.0,0.0
317,31,0,0.0,0.0
318,43,0,0.0,0.0
319,38,0,0.0,0.0
320,0,0,0.0,0.0
321,44,0,0.0,0.0
322,0,0,0.0,0.0
323,88,0,0.0,0.0
324,10,0,0.0,0.0
325,0,0,0.0,0.0
326,79,0,0.0,0.0
327,33,0,0.0,0.0
328,43,35,0.0,0.0
329,22,0,0.0,0.0
330,0,0,0.0,0.0
331,18,0,0.0,0.0
332,31,0,0.0,0.0
333,0,0,0.0,0.0
334,44,0,0.0,0.0
335,0,0,0.0,0.0
336,74,0,0.0,0.0
337,0,32,0.0,0.0
338,0,0,0.0,0.0
339,0,0,0.0,0.0
340,31,23,0.0,0.0
341,27,0,0.0,0.0
342,0,78,0.0,0.0
343,0,0,0.0,0.0
344,89,0,0.0,0.0
345,0,89,0.0,0.0
346,86,0,0.0,0.0
347,96,0,0.0,0.0
348,62,0,0.0,0.0
