,data_0x,data_3x,data_5x,data_10x
1,3,0.0,0.0,0.0
2,0,10.0,18.0,57.0
3,2,0.0,0.0,0.0
4,2,0.0,0.0,0.0
5,26,0.0,0.0,0.0
6,0,6.0,18.0,0.0
7,3,0.0,0.0,0.0
8,10,0.0,0.0,0.0
9,24,17.0,0.0,0.0
10,15,0.0,0.0,0.0
11,2,0.0,0.0,0.0
12,1,0.0,0.0,0.0
13,54,27.0,0.0,0.0
14,9,0.0,0.0,0.0
15,7,0.0,0.0,0.0
16,71,5.0,14.0,0.0
17,33,7.0,0.0,0.0
18,1,0.0,0.0,0.0
19,26,4.0,0.0,0.0
20,4,0.0,0.0,0.0
21,2,0.0,0.0,0.0
22,9,0.0,0.0,0.0
23,2,0.0,0.0,0.0
24,2,0.0,0.0,0.0
25,20,0.0,0.0,0.0
26,47,27.0,40.0,0.0
27,52,36.0,0.0,0.0
28,37,19.0,25.0,0.0
29,0,5.0,21.0,39.0
30,18,0.0,0.0,0.0
31,2,0.0,0.0,0.0
32,24,18.0,0.0,0.0
33,9,0.0,0.0,0.0
34,4,0.0,0.0,0.0
35,19,11.0,0.0,0.0
36,2,0.0,0.0,0.0
37,51,0.0,0.0,0.0
38,6,0.0,0.0,0.0
39,20,0.0,0.0,0.0
40,5,0.0,0.0,0.0
41,27,0.0,0.0,0.0
42,2,0.0,0.0,0.0
43,44,29.0,0.0,0.0
44,1,0.0,0.0,0.0
45,1,0.0,0.0,0.0
46,7,0.0,0.0,0.0
47,1,0.0,0.0,0.0
48,33,0.0,0.0,0.0
49,47,34.0,0.0,0.0
50,3,0.0,0.0,0.0
51,41,0.0,0.0,0.0
52,3,0.0,0.0,0.0
53,0,15.0,20.0,64.0
54,2,0.0,0.0,0.0
55,7,0.0,0.0,0.0
56,29,0.0,0.0,0.0
57,34,10.0,0.0,0.0
58,9,0.0,0.0,0.0
59,4,0.0,0.0,0.0
60,2,0.0,0.0,0.0
61,22,6.0,0.0,0.0
62,3,0.0,0.0,0.0
63,14,0.0,0.0,0.0
64,2,0.0,0.0,0.0
65,2,0.0,0.0,0.0
66,6,0.0,0.0,0.0
67,8,0.0,0.0,0.0
68,3,0.0,0.0,0.0
69,5,0.0,0.0,0.0
70,16,0.0,0.0,0.0
71,3,0.0,0.0,0.0
72,11,0.0,0.0,0.0
73,13,0.0,0.0,0.0
74,10,7.0,0.0,0.0
75,2,0.0,0.0,0.0
