,data_0x,data_3x,data_5x,data_10x
1,0,56.0,89.0,0.0
2,24,0.0,0.0,0.0
3,0,88.0,0.0,0.0
4,23,0.0,0.0,0.0
5,11,0.0,0.0,0.0
6,19,0.0,0.0,0.0
7,4,0.0,0.0,0.0
8,12,0.0,0.0,0.0
9,18,0.0,0.0,0.0
10,35,0.0,0.0,0.0
11,22,0.0,0.0,0.0
12,12,0.0,0.0,0.0
13,10,0.0,0.0,0.0
14,9,0.0,0.0,0.0
15,17,0.0,0.0,0.0
16,18,0.0,0.0,0.0
17,82,70.0,0.0,0.0
18,7,0.0,0.0,0.0
19,15,0.0,0.0,0.0
20,29,0.0,0.0,0.0
21,21,0.0,0.0,0.0
22,0,53.0,88.0,0.0
23,16,0.0,0.0,0.0
24,52,0.0,0.0,0.0
25,43,0.0,0.0,0.0
26,4,0.0,0.0,0.0
27,45,0.0,0.0,0.0
28,20,0.0,0.0,0.0
29,5,0.0,0.0,0.0
30,0,20.0,82.0,0.0
31,0,41.0,70.0,0.0
32,4,0.0,0.0,0.0
33,4,0.0,0.0,0.0
34,15,0.0,0.0,0.0
35,11,0.0,0.0,0.0
36,0,43.0,92.0,0.0
37,15,0.0,0.0,0.0
38,65,20.0,59.0,0.0
39,7,0.0,0.0,0.0
40,93,0.0,0.0,0.0
41,0,27.0,66.0,0.0
42,57,0.0,0.0,0.0
43,12,0.0,0.0,0.0
44,24,0.0,0.0,0.0
45,0,47.0,73.0,0.0
46,0,40.0,81.0,0.0
47,0,86.0,0.0,0.0
48,25,0.0,0.0,0.0
49,0,32.0,60.0,0.0
50,27,0.0,0.0,0.0
51,5,0.0,0.0,0.0
52,30,0.0,0.0,0.0
53,0,69.0,0.0,0.0
54,11,0.0,0.0,0.0
55,10,0.0,0.0,0.0
56,94,39.0,74.0,0.0
57,22,0.0,0.0,0.0
58,11,0.0,0.0,0.0
59,69,43.0,0.0,0.0
60,12,0.0,0.0,0.0
61,11,0.0,0.0,0.0
62,21,0.0,0.0,0.0
63,12,0.0,0.0,0.0
64,83,19.0,41.0,0.0
65,32,0.0,0.0,0.0
66,10,0.0,0.0,0.0
67,31,0.0,0.0,0.0
68,7,0.0,0.0,0.0
69,0,46.0,0.0,0.0
70,64,0.0,0.0,0.0
71,0,34.0,79.0,0.0
72,66,30.0,0.0,0.0
73,4,0.0,0.0,0.0
74,0,52.0,93.0,0.0
75,66,36.0,0.0,0.0
76,20,0.0,0.0,0.0
77,79,0.0,0.0,0.0
78,20,0.0,0.0,0.0
79,14,0.0,0.0,0.0
80,4,0.0,0.0,0.0
81,64,38.0,58.0,0.0
82,9,0.0,0.0,0.0
83,4,0.0,0.0,0.0
84,15,0.0,0.0,0.0
85,7,0.0,0.0,0.0
86,8,0.0,0.0,0.0
87,0,35.0,87.0,0.0
88,0,44.0,0.0,0.0
89,20,0.0,0.0,0.0
90,17,0.0,0.0,0.0
91,0,34.0,71.0,0.0
92,0,41.0,63.0,0.0
93,56,0.0,0.0,0.0
94,0,29.0,66.0,0.0
95,17,0.0,0.0,0.0
96,18,0.0,0.0,0.0
97,0,23.0,67.0,0.0
98,10,0.0,0.0,0.0
99,21,0.0,0.0,0.0
100,50,0.0,0.0,0.0
101,41,0.0,0.0,0.0
102,0,40.0,0.0,0.0
103,4,0.0,0.0,0.0
104,9,0.0,0.0,0.0
105,0,68.0,0.0,0.0
106,67,57.0,0.0,0.0
107,37,0.0,0.0,0.0
108,33,0.0,0.0,0.0
109,0,38.0,83.0,0.0
110,30,25.0,0.0,0.0
111,11,0.0,0.0,0.0
112,73,42.0,0.0,0.0
113,10,0.0,0.0,0.0
114,41,0.0,0.0,0.0
115,0,40.0,72.0,0.0
116,16,0.0,0.0,0.0
117,58,0.0,0.0,0.0
118,4,0.0,0.0,0.0
119,0,46.0,86.0,0.0
120,0,20.0,59.0,0.0
121,31,0.0,0.0,0.0
122,15,0.0,0.0,0.0
123,60,0.0,0.0,0.0
124,60,0.0,0.0,0.0
125,7,0.0,0.0,0.0
126,94,52.0,0.0,0.0
127,34,0.0,0.0,0.0
128,68,52.0,0.0,0.0
129,32,0.0,0.0,0.0
130,39,0.0,0.0,0.0
131,0,33.0,79.0,0.0
132,6,0.0,0.0,0.0
133,37,29.0,0.0,0.0
134,0,35.0,90.0,0.0
135,55,0.0,0.0,0.0
136,20,0.0,0.0,0.0
137,77,54.0,0.0,0.0
138,95,69.0,0.0,0.0
139,14,0.0,0.0,0.0
140,0,83.0,0.0,0.0
141,5,0.0,0.0,0.0
142,0,27.0,62.0,0.0
143,11,0.0,0.0,0.0
144,0,25.0,57.0,0.0
145,0,39.0,73.0,0.0
146,9,0.0,0.0,0.0
147,4,0.0,0.0,0.0
148,6,0.0,0.0,0.0
149,0,36.0,63.0,0.0
150,4,0.0,0.0,0.0
151,4,0.0,0.0,0.0
152,5,0.0,0.0,0.0
153,42,27.0,0.0,0.0
154,4,0.0,0.0,0.0
155,10,0.0,0.0,0.0
156,18,0.0,0.0,0.0
157,7,0.0,0.0,0.0
158,9,0.0,0.0,0.0
159,17,0.0,0.0,0.0
160,39,0.0,0.0,0.0
161,18,0.0,0.0,0.0
162,80,41.0,0.0,0.0
163,14,0.0,0.0,0.0
164,7,0.0,0.0,0.0
165,8,0.0,0.0,0.0
166,4,0.0,0.0,0.0
167,38,0.0,0.0,0.0
168,0,43.0,0.0,0.0
169,4,0.0,0.0,0.0
170,24,0.0,0.0,0.0
171,18,0.0,0.0,0.0
172,28,0.0,0.0,0.0
173,78,43.0,0.0,0.0
174,16,0.0,0.0,0.0
175,75,26.0,0.0,0.0
176,16,0.0,0.0,0.0
177,30,0.0,0.0,0.0
178,9,0.0,0.0,0.0
179,0,29.0,58.0,0.0
180,43,0.0,0.0,0.0
181,16,0.0,0.0,0.0
182,19,0.0,0.0,0.0
183,0,58.0,0.0,0.0
184,24,0.0,0.0,0.0
185,72,46.0,0.0,0.0
186,16,0.0,0.0,0.0
187,4,0.0,0.0,0.0
188,14,0.0,0.0,0.0
189,12,0.0,0.0,0.0
190,52,0.0,0.0,0.0
191,64,39.0,0.0,0.0
192,14,0.0,0.0,0.0
193,5,0.0,0.0,0.0
194,27,0.0,0.0,0.0
195,14,0.0,0.0,0.0
196,4,0.0,0.0,0.0
197,54,31.0,0.0,0.0
198,17,0.0,0.0,0.0
199,12,0.0,0.0,0.0
200,22,0.0,0.0,0.0
201,38,0.0,0.0,0.0
202,54,35.0,0.0,0.0
203,0,51.0,98.0,0.0
204,14,0.0,0.0,0.0
