,data_0x,data_3x,data_5x,data_10x
1,10,0.0,0.0,0.0
2,38,0.0,0.0,0.0
3,0,36.0,55.0,0.0
4,10,0.0,0.0,0.0
5,19,0.0,0.0,0.0
6,15,0.0,0.0,0.0
7,0,26.0,83.0,0.0
8,39,0.0,0.0,0.0
9,15,0.0,0.0,0.0
10,16,0.0,0.0,0.0
11,42,0.0,0.0,0.0
12,16,0.0,0.0,0.0
13,28,0.0,0.0,0.0
14,13,0.0,0.0,0.0
15,10,0.0,0.0,0.0
16,39,11.0,0.0,0.0
17,8,0.0,0.0,0.0
18,11,0.0,0.0,0.0
19,31,0.0,0.0,0.0
20,38,0.0,0.0,0.0
21,8,0.0,0.0,0.0
22,51,27.0,0.0,0.0
23,7,0.0,0.0,0.0
24,39,0.0,0.0,0.0
25,13,0.0,0.0,0.0
26,12,0.0,0.0,0.0
27,0,21.0,39.0,94.0
28,15,0.0,0.0,0.0
29,32,0.0,0.0,0.0
30,26,0.0,0.0,0.0
31,24,0.0,0.0,0.0
32,16,0.0,0.0,0.0
33,18,0.0,0.0,0.0
34,26,0.0,0.0,0.0
35,46,14.0,0.0,0.0
36,18,0.0,0.0,0.0
37,17,0.0,0.0,0.0
38,13,0.0,0.0,0.0
39,0,27.0,38.0,72.0
40,8,0.0,0.0,0.0
41,0,17.0,39.0,67.0
42,40,0.0,0.0,0.0
43,10,0.0,0.0,0.0
44,91,13.0,32.0,0.0
45,43,20.0,0.0,0.0
46,11,0.0,0.0,0.0
47,9,0.0,0.0,0.0
48,9,0.0,0.0,0.0
49,0,37.0,74.0,0.0
50,10,0.0,0.0,0.0
51,27,0.0,0.0,0.0
52,31,0.0,0.0,0.0
53,11,0.0,0.0,0.0
54,8,0.0,0.0,0.0
55,43,0.0,0.0,0.0
56,0,23.0,69.0,0.0
57,15,0.0,0.0,0.0
58,21,0.0,0.0,0.0
59,18,0.0,0.0,0.0
60,40,0.0,0.0,0.0
61,0,30.0,58.0,86.0
62,18,0.0,0.0,0.0
63,36,21.0,0.0,0.0
64,13,0.0,0.0,0.0
65,10,0.0,0.0,0.0
66,0,33.0,58.0,70.0
67,6,0.0,0.0,0.0
68,17,0.0,0.0,0.0
69,10,0.0,0.0,0.0
70,0,26.0,27.0,96.0
71,10,0.0,0.0,0.0
72,20,0.0,0.0,0.0
73,12,0.0,0.0,0.0
74,0,31.0,55.0,98.0
75,9,0.0,0.0,0.0
76,12,0.0,0.0,0.0
77,16,0.0,0.0,0.0
78,12,0.0,0.0,0.0
79,0,25.0,61.0,87.0
80,14,0.0,0.0,0.0
81,9,0.0,0.0,0.0
82,30,0.0,0.0,0.0
83,37,0.0,0.0,0.0
84,11,0.0,0.0,0.0
85,20,0.0,0.0,0.0
86,41,23.0,0.0,0.0
87,38,32.0,0.0,0.0
88,0,25.0,54.0,0.0
89,0,31.0,48.0,0.0
90,31,0.0,0.0,0.0
91,18,0.0,0.0,0.0
92,15,0.0,0.0,0.0
93,9,0.0,0.0,0.0
94,12,0.0,0.0,0.0
95,14,0.0,0.0,0.0
96,44,19.0,0.0,0.0
97,20,0.0,0.0,0.0
98,16,0.0,0.0,0.0
99,50,17.0,0.0,0.0
100,54,0.0,0.0,0.0
101,57,26.0,44.0,0.0
102,12,0.0,0.0,0.0
103,0,16.0,49.0,83.0
104,11,0.0,0.0,0.0
105,15,0.0,0.0,0.0
106,0,29.0,71.0,0.0
107,11,0.0,0.0,0.0
108,11,0.0,0.0,0.0
109,31,0.0,0.0,0.0
110,76,53.0,0.0,0.0
111,11,0.0,0.0,0.0
112,15,0.0,0.0,0.0
113,6,0.0,0.0,0.0
114,8,0.0,0.0,0.0
115,14,0.0,0.0,0.0
116,35,0.0,0.0,0.0
117,10,0.0,0.0,0.0
118,29,0.0,0.0,0.0
119,9,0.0,0.0,0.0
120,12,0.0,0.0,0.0
121,32,0.0,0.0,0.0
122,89,32.0,60.0,0.0
123,55,27.0,0.0,0.0
124,0,16.0,55.0,0.0
125,42,0.0,0.0,0.0
126,7,0.0,0.0,0.0
127,22,0.0,0.0,0.0
128,53,0.0,0.0,0.0
129,21,0.0,0.0,0.0
130,25,0.0,0.0,0.0
131,0,24.0,48.0,92.0
132,87,25.0,48.0,0.0
133,22,0.0,0.0,0.0
134,47,30.0,0.0,0.0
135,42,0.0,0.0,0.0
136,25,0.0,0.0,0.0
137,21,0.0,0.0,0.0
138,16,0.0,0.0,0.0
139,22,0.0,0.0,0.0
140,40,0.0,0.0,0.0
141,21,0.0,0.0,0.0
142,14,0.0,0.0,0.0
143,32,0.0,0.0,0.0
144,15,0.0,0.0,0.0
145,41,0.0,0.0,0.0
146,17,0.0,0.0,0.0
147,14,0.0,0.0,0.0
148,52,0.0,0.0,0.0
149,48,18.0,0.0,0.0
150,12,0.0,0.0,0.0
151,47,26.0,0.0,0.0
152,31,0.0,0.0,0.0
153,8,0.0,0.0,0.0
154,59,0.0,0.0,0.0
155,18,0.0,0.0,0.0
156,10,0.0,0.0,0.0
157,77,18.0,43.0,0.0
158,25,0.0,0.0,0.0
159,8,0.0,0.0,0.0
160,0,40.0,65.0,0.0
161,19,0.0,0.0,0.0
162,22,0.0,0.0,0.0
163,66,18.0,41.0,0.0
164,0,38.0,46.0,84.0
165,16,0.0,0.0,0.0
166,9,0.0,0.0,0.0
167,19,0.0,0.0,0.0
168,24,0.0,0.0,0.0
169,96,29.0,59.0,0.0
170,21,0.0,0.0,0.0
171,8,0.0,0.0,0.0
172,10,0.0,0.0,0.0
173,29,0.0,0.0,0.0
174,9,0.0,0.0,0.0
175,10,0.0,0.0,0.0
176,45,0.0,0.0,0.0
177,17,0.0,0.0,0.0
178,21,0.0,0.0,0.0
179,19,0.0,0.0,0.0
180,11,0.0,0.0,0.0
181,0,35.0,47.0,0.0
182,89,28.0,45.0,0.0
183,91,27.0,54.0,0.0
184,12,0.0,0.0,0.0
185,21,0.0,0.0,0.0
186,18,0.0,0.0,0.0
187,15,0.0,0.0,0.0
188,13,0.0,0.0,0.0
189,19,0.0,0.0,0.0
190,25,0.0,0.0,0.0
191,54,21.0,40.0,0.0
192,15,0.0,0.0,0.0
193,24,0.0,0.0,0.0
194,24,0.0,0.0,0.0
195,43,0.0,0.0,0.0
196,0,28.0,32.0,76.0
197,20,0.0,0.0,0.0
198,38,30.0,0.0,0.0
199,62,25.0,52.0,0.0
200,0,23.0,63.0,0.0
201,8,0.0,0.0,0.0
202,57,44.0,0.0,0.0
203,63,24.0,48.0,0.0
204,17,0.0,0.0,0.0
205,12,0.0,0.0,0.0
206,7,0.0,0.0,0.0
207,45,21.0,0.0,0.0
208,14,0.0,0.0,0.0
209,8,0.0,0.0,0.0
210,10,0.0,0.0,0.0
211,41,0.0,0.0,0.0
212,8,0.0,0.0,0.0
213,15,0.0,0.0,0.0
214,38,0.0,0.0,0.0
215,10,0.0,0.0,0.0
216,47,0.0,0.0,0.0
217,37,0.0,0.0,0.0
218,18,0.0,0.0,0.0
219,9,0.0,0.0,0.0
220,16,0.0,0.0,0.0
221,15,0.0,0.0,0.0
222,33,0.0,0.0,0.0
223,25,0.0,0.0,0.0
224,9,0.0,0.0,0.0
225,0,29.0,48.0,0.0
226,8,0.0,0.0,0.0
227,17,0.0,0.0,0.0
228,17,0.0,0.0,0.0
229,19,0.0,0.0,0.0
230,0,27.0,52.0,98.0
231,34,0.0,0.0,0.0
232,22,0.0,0.0,0.0
233,36,31.0,0.0,0.0
234,57,50.0,0.0,0.0
235,12,0.0,0.0,0.0
236,6,0.0,0.0,0.0
237,12,0.0,0.0,0.0
