,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,180.0,120.0,100.0,120.0,100.0,100.0,200.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,140.0,100.0,100.0,100.0,100.0,120.0,100.0,100.0,110.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.0,100.0,100.0,140.0,100.0,120.0,100.0,100.0,125.0,100.0,100.0,120.0
1,80.0,80.0,100.0,80.0,80.0,120.0,140.0,200.0,100.0,120.0,140.0,120.0,80.0,180.0,80.0,80.0,80.0,60.0,140.0,90.0,100.0,170.0,80.0,80.0,115.0,120.0,140.0,110.0,110.0,130.0,80.0,90.0,140.0,120.0,80.0,120.0,80.0,80.0,100.0,80.0,90.0,160.0,120.0,140.0,90.0,80.0,105.0,110.0,120.0,100.0
2,100.0,70.0,60.0,80.0,70.0,80.0,140.0,160.0,120.0,160.0,100.0,160.0,70.0,170.0,60.0,60.0,70.0,50.0,180.0,70.0,100.0,130.0,90.0,90.0,155.0,200.0,140.0,70.0,110.0,90.0,80.0,80.0,220.0,80.0,95.0,80.0,70.0,70.0,90.0,70.0,80.0,240.0,120.0,180.0,100.0,90.0,95.0,90.0,160.0,90.0
3,140.0,80.0,50.0,60.0,70.0,95.0,150.0,170.0,100.0,170.0,110.0,150.0,70.0,180.0,50.0,70.0,60.0,60.0,170.0,60.0,60.0,110.0,120.0,50.0,155.0,210.0,130.0,85.0,150.0,80.0,100.0,70.0,210.0,90.0,75.0,100.0,80.0,60.0,100.0,60.0,90.0,255.0,130.0,190.0,120.0,70.0,85.0,80.0,160.0,90.0
4,140.0,60.0,40.0,50.0,50.0,115.0,150.0,130.0,100.0,160.0,90.0,140.0,50.0,200.0,40.0,90.0,50.0,40.0,160.0,50.0,70.0,100.0,80.0,40.0,135.0,200.0,130.0,105.0,140.0,90.0,60.0,80.0,200.0,110.0,65.0,80.0,80.0,50.0,60.0,50.0,90.0,270.0,140.0,180.0,160.0,60.0,95.0,70.0,150.0,110.0
5,130.0,50.0,20.0,65.0,60.0,75.0,140.0,140.0,80.0,175.0,90.0,130.0,40.0,240.0,50.0,130.0,70.0,50.0,160.0,70.0,50.0,110.0,95.0,50.0,155.0,210.0,150.0,185.0,150.0,110.0,70.0,40.0,190.0,70.0,80.0,60.0,120.0,60.0,70.0,60.0,50.0,280.0,130.0,190.0,150.0,80.0,75.0,70.0,150.0,150.0
6,130.0,40.0,10.0,85.0,40.0,65.0,120.0,160.0,90.0,215.0,110.0,140.0,50.0,250.0,50.0,120.0,110.0,10.0,180.0,90.0,50.0,90.0,125.0,50.0,135.0,190.0,70.0,165.0,130.0,190.0,90.0,40.0,190.0,80.0,80.0,70.0,130.0,40.0,50.0,40.0,60.0,290.0,140.0,190.0,140.0,60.0,65.0,110.0,130.0,150.0
7,150.0,30.0,0.0,165.0,50.0,75.0,140.0,120.0,70.0,255.0,70.0,120.0,90.0,240.0,90.0,130.0,150.0,0.0,140.0,130.0,70.0,100.0,165.0,10.0,145.0,180.0,70.0,175.0,140.0,200.0,130.0,80.0,220.0,120.0,140.0,50.0,140.0,50.0,40.0,50.0,80.0,280.0,120.0,270.0,150.0,80.0,75.0,70.0,120.0,160.0
8,190.0,10.0,0.0,175.0,90.0,95.0,140.0,110.0,60.0,255.0,60.0,110.0,90.0,230.0,80.0,110.0,160.0,0.0,140.0,130.0,110.0,80.0,145.0,-10.0,125.0,180.0,50.0,155.0,120.0,220.0,120.0,120.0,140.0,120.0,130.0,60.0,140.0,70.0,50.0,70.0,120.0,270.0,130.0,280.0,170.0,110.0,55.0,60.0,110.0,170.0
9,180.0,20.0,0.0,185.0,50.0,155.0,100.0,120.0,50.0,265.0,50.0,120.0,80.0,220.0,90.0,100.0,150.0,0.0,160.0,110.0,110.0,95.0,135.0,-20.0,135.0,210.0,60.0,145.0,135.0,210.0,135.0,120.0,150.0,110.0,140.0,80.0,150.0,130.0,90.0,110.0,120.0,260.0,130.0,285.0,90.0,150.0,45.0,60.0,120.0,180.0
