,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,10.0,0.0,0.0,40.0,0.0,0.0,10.0,0.0,0.0,20.0,40.0,20.0,0.0,0.0,10.0,0.0,10.0,20.0,20.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,20.0,0.0,10.0,20.0,0.0,10.0,10.0,0.0,10.0
1,10.0,20.0,20.0,20.0,20.0,20.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,40.0,40.0,10.0,10.0,20.0,20.0,20.0,10.0,20.0,20.0,10.0,10.0,20.0,20.0,10.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,10.0,20.0,20.0,10.0,20.0,20.0
2,20.0,10.0,40.0,10.0,10.0,40.0,40.0,40.0,20.0,40.0,40.0,40.0,10.0,10.0,20.0,20.0,10.0,10.0,40.0,20.0,40.0,40.0,10.0,10.0,40.0,80.0,40.0,40.0,40.0,40.0,10.0,10.0,80.0,40.0,10.0,40.0,10.0,10.0,10.0,10.0,10.0,80.0,40.0,40.0,10.0,10.0,10.0,20.0,40.0,10.0
3,40.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,40.0,20.0,20.0,40.0,40.0,10.0,10.0,10.0,40.0,10.0,20.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0
4,40.0,20.0,10.0,10.0,20.0,20.0,10.0,40.0,10.0,10.0,20.0,10.0,20.0,20.0,10.0,20.0,10.0,20.0,10.0,10.0,10.0,10.0,40.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0,40.0,10.0,10.0,20.0,10.0,20.0,20.0,10.0,40.0,10.0,40.0,10.0,10.0,10.0,40.0,10.0,10.0,10.0,10.0,20.0
5,10.0,10.0,20.0,10.0,10.0,40.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,40.0,10.0,40.0,20.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,20.0,10.0,20.0,80.0,10.0,40.0,10.0,40.0,10.0,40.0,10.0,20.0,40.0,10.0,10.0,10.0,40.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,20.0,40.0
6,20.0,10.0,10.0,20.0,20.0,10.0,20.0,20.0,10.0,40.0,20.0,10.0,10.0,10.0,20.0,10.0,40.0,40.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,80.0,20.0,20.0,80.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,10.0,10.0,10.0,20.0,10.0,20.0,10.0,40.0,20.0,10.0
7,20.0,10.0,10.0,80.0,10.0,10.0,20.0,40.0,20.0,40.0,40.0,20.0,40.0,10.0,40.0,10.0,40.0,10.0,40.0,40.0,20.0,10.0,40.0,40.0,10.0,10.0,20.0,10.0,10.0,10.0,40.0,40.0,20.0,40.0,40.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0,80.0,10.0,20.0,10.0,40.0,10.0,10.0
8,40.0,20.0,0.0,10.0,40.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,40.0,10.0,10.0,20.0,10.0,0.0,10.0,10.0,40.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,10.0,40.0,80.0,40.0,10.0,10.0,10.0,20.0,10.0,20.0,40.0,10.0,10.0,10.0,20.0,20.0,20.0,10.0,10.0,10.0
9,10.0,10.0,0.0,10.0,40.0,40.0,40.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,20.0,20.0,10.0,10.0,10.0,-10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,40.0,40.0,40.0,10.0,10.0,40.0,20.0,80.0,40.0,10.0,10.0,10.0,10.0
