,data_0x,data_3x,data_5x,data_10x
1,76,,,0
2,11,,,0
3,8,,,0
4,82,36.0,,0
5,33,,,0
6,30,,,0
7,0,52.0,64.0,0
8,0,56.0,,0
9,56,,,0
10,0,13.0,,0
11,23,,,0
12,25,,,0
13,0,48.0,,0
14,31,,,0
15,18,,,0
16,0,97.0,,0
17,30,,,0
18,8,,,0
19,0,74.0,83.0,83
20,100,,,0
21,0,,,0
22,18,,,0
23,72,,,0
24,12,18.0,39.0,0
25,77,,,0
26,0,39.0,,0
27,0,48.0,,0
28,0,42.0,,0
29,0,,,0
30,35,,,0
31,0,39.0,50.0,0
32,32,,,0
33,80,,,0
34,58,,,0
35,41,,,0
36,98,,,0
37,75,,,0
38,0,38.0,51.0,0
39,85,,,0
40,0,87.0,,0
41,0,,,0
42,59,13.0,,0
43,0,48.0,,0
44,0,22.0,,0
45,65,,,0
46,0,,,0
47,18,25.0,25.0,25
48,14,,,0
49,0,50.0,75.0,0
