,11,21,8,19,10,14,24,16,12,18,20,13,17,15,7,9,22,26,23,6,25,5,4
4,"[1020, 1834]","[2088, 2177]","[411, 955]","[1640, 2622]","[845, 1536]","[1376, 3288]",,"[1303, 3161]","[1312, 3319]","[1468, 2829]","[3019, 3971]","[1528, 3738]","[1295, 3157]","[1320, 3306]","[285, 735]","[603, 1190]",,,,"[172, 429]",,"[145, 347]","[13, 30]"
6,"[1079, 1844]","[2163, 2255]","[481, 972]","[1839, 2787]","[856, 1465]","[1545, 3367]",,"[1373, 3077]","[1447, 3391]","[1528, 2762]","[3045, 3847]","[1690, 3738]","[1431, 3202]","[1555, 3447]","[373, 821]","[666, 1326]",,,,"[179, 423]",,"[171, 411]","[14, 33]"
9,"[840, 1716]","[3365, 3487]","[284, 978]","[1772, 3851]","[707, 1474]","[1117, 4027]","[0, 1592]","[901, 3991]","[999, 3393]","[1440, 4058]","[4357, 5300]","[1098, 3843]","[1109, 4443]","[986, 4095]","[192, 716]","[400, 1156]","[0, 2006]","[0, 1059]","[0, 1781]","[117, 503]","[0, 1334]","[114, 361]","[52, 173]"
5,"[1066, 1816]","[2120, 2189]","[423, 931]","[1744, 2621]","[792, 1471]","[1308, 3097]",,"[1403, 3114]","[1387, 3420]","[1512, 2819]","[2919, 3787]","[1675, 3891]","[1381, 3267]","[1398, 3346]","[356, 829]","[674, 1301]",,,,"[180, 427]",,"[166, 389]","[9, 36]"
10,"[2927, 6943]","[12782, 14184]","[1095, 3856]","[6955, 15822]","[2292, 5688]","[3614, 15827]","[0, 6359]","[3312, 16455]","[3412, 13661]","[5531, 17025]","[11583, 21044]","[3807, 15390]","[3851, 17537]","[3538, 16380]","[776, 3048]","[1504, 4642]","[0, 8345]","[0, 4312]","[0, 7430]","[532, 2168]","[0, 5366]","[343, 1411]","[183, 711]"
11,"[528, 1730]","[2255, 3427]","[183, 924]","[1297, 3938]","[426, 1363]","[676, 3945]","[0, 1664]","[635, 4140]","[655, 3359]","[919, 4320]","[2605, 5416]","[668, 3830]","[642, 4297]","[625, 4147]","[109, 714]","[260, 1164]","[0, 2009]","[0, 1101]","[0, 1850]","[97, 523]","[0, 1377]","[57, 331]","[22, 151]"
8,"[855, 1751]","[3303, 3441]","[324, 939]","[2913, 3933]","[737, 1461]","[1177, 3964]","[0, 1555]","[1040, 4063]","[1072, 3386]","[1466, 4029]","[4523, 5260]","[1275, 3949]","[1181, 4407]","[1113, 4044]","[228, 756]","[548, 1195]","[0, 1997]","[0, 1036]","[0, 1822]","[151, 505]","[0, 1328]","[108, 336]","[50, 169]"
2,"[952, 1829]","[2319, 2441]","[418, 972]","[1812, 2948]","[750, 1492]","[1357, 3603]",,"[1203, 3307]","[1140, 3312]","[1450, 3124]","[3213, 4217]","[1397, 3839]","[1183, 3316]","[1340, 3663]","[250, 732]","[554, 1175]","[0, 968]",,,"[185, 456]",,"[109, 325]","[52, 156]"
7,"[947, 1863]","[3323, 3465]","[468, 1019]","[2963, 3822]","[738, 1473]","[1341, 3942]","[0, 1627]","[1196, 4234]","[1177, 3444]","[2586, 4115]","[4424, 5199]","[1398, 4119]","[1252, 4372]","[1270, 4170]","[257, 792]","[589, 1213]","[0, 2052]","[0, 1119]","[0, 1826]","[126, 424]","[0, 1382]","[114, 401]","[7, 21]"
3,"[957, 1738]","[2363, 2469]","[431, 1013]","[1835, 2861]","[798, 1501]","[1406, 3722]",,"[1299, 3384]","[1223, 3308]","[1565, 3060]","[3162, 4190]","[1438, 3741]","[1318, 3287]","[1433, 3625]","[295, 760]","[538, 1127]","[0, 897]",,,"[177, 491]",,"[135, 356]","[65, 162]"
