,data_0x,data_3x,data_5x,data_10x
1,28,5,16.0,0.0
2,20,14,0.0,0.0
3,14,0,0.0,0.0
4,7,0,0.0,0.0
5,20,0,0.0,0.0
6,8,3,0.0,0.0
7,3,0,0.0,0.0
8,8,0,0.0,0.0
9,10,0,0.0,0.0
10,15,0,0.0,0.0
11,23,14,17.0,0.0
12,10,0,0.0,0.0
13,4,0,0.0,0.0
14,5,0,0.0,0.0
15,10,0,0.0,0.0
16,8,0,0.0,0.0
17,7,0,0.0,0.0
18,14,0,0.0,0.0
19,24,0,0.0,0.0
20,14,0,0.0,0.0
21,10,0,0.0,0.0
22,7,0,0.0,0.0
23,6,0,0.0,0.0
24,42,12,13.0,0.0
25,16,0,0.0,0.0
26,5,0,0.0,0.0
27,33,3,4.0,6.0
28,10,0,0.0,0.0
29,10,0,0.0,0.0
30,21,2,0.0,0.0
31,16,8,9.0,10.0
32,24,8,0.0,0.0
33,10,0,0.0,0.0
34,10,0,0.0,0.0
35,9,0,0.0,0.0
36,17,0,0.0,0.0
37,5,0,0.0,0.0
38,3,0,0.0,0.0
39,12,0,0.0,0.0
40,9,3,0.0,0.0
41,30,0,0.0,0.0
42,53,0,0.0,0.0
43,13,0,0.0,0.0
44,18,3,4.0,0.0
45,16,11,12.0,0.0
46,28,0,0.0,0.0
47,10,0,0.0,0.0
48,11,0,0.0,0.0
49,10,0,0.0,0.0
50,14,0,0.0,0.0
51,27,0,0.0,0.0
52,10,0,0.0,0.0
53,16,0,0.0,0.0
54,8,5,0.0,0.0
55,10,0,0.0,0.0
56,10,0,0.0,0.0
57,0,7,15.0,20.0
58,7,0,0.0,0.0
59,25,0,0.0,0.0
60,6,0,0.0,0.0
61,20,3,0.0,0.0
62,6,0,0.0,0.0
63,30,5,0.0,0.0
64,12,0,0.0,0.0
65,19,0,0.0,0.0
66,40,18,0.0,0.0
67,33,18,22.0,0.0
68,13,0,0.0,0.0
69,8,0,0.0,0.0
70,11,8,9.0,0.0
71,24,4,5.0,17.0
72,13,0,0.0,0.0
73,15,0,0.0,0.0
74,16,0,0.0,0.0
75,16,0,0.0,0.0
76,14,0,0.0,0.0
77,20,0,0.0,0.0
78,11,0,0.0,0.0
79,7,0,0.0,0.0
80,28,17,18.0,20.0
81,26,0,0.0,0.0
82,14,0,0.0,0.0
83,58,12,15.0,22.0
84,4,0,0.0,0.0
85,11,0,0.0,0.0
86,30,0,0.0,0.0
87,3,0,0.0,0.0
88,19,0,0.0,0.0
89,34,24,25.0,0.0
90,13,0,0.0,0.0
91,12,0,0.0,0.0
92,20,0,0.0,0.0
93,5,0,0.0,0.0
94,12,0,0.0,0.0
95,8,0,0.0,0.0
96,5,0,0.0,0.0
97,46,0,0.0,0.0
98,13,0,0.0,0.0
99,7,0,0.0,0.0
100,6,0,0.0,0.0
101,48,10,12.0,21.0
102,12,0,0.0,0.0
103,11,0,0.0,0.0
104,11,0,0.0,0.0
105,11,0,0.0,0.0
106,25,0,0.0,0.0
107,12,0,0.0,0.0
108,38,0,0.0,0.0
109,7,0,0.0,0.0
110,21,0,0.0,0.0
111,26,13,16.0,0.0
