,data_0x,data_3x,data_5x,data_10x
1,12,0.0,0.0,0.0
2,11,0.0,0.0,0.0
3,7,0.0,0.0,0.0
4,6,0.0,0.0,0.0
5,3,0.0,0.0,0.0
6,31,22.0,27.0,0.0
7,8,0.0,0.0,0.0
8,14,0.0,0.0,0.0
9,3,0.0,0.0,0.0
10,11,0.0,0.0,0.0
11,8,0.0,0.0,0.0
12,1,0.0,0.0,0.0
13,6,0.0,0.0,0.0
14,49,12.0,14.0,17.0
15,7,0.0,0.0,0.0
16,6,0.0,0.0,0.0
17,5,0.0,0.0,0.0
18,8,2.0,0.0,0.0
19,7,0.0,0.0,0.0
20,6,0.0,0.0,0.0
21,5,0.0,0.0,0.0
22,6,0.0,0.0,0.0
23,2,0.0,0.0,0.0
24,8,2.0,3.0,0.0
25,8,0.0,0.0,0.0
26,4,0.0,0.0,0.0
27,5,0.0,0.0,0.0
28,5,0.0,0.0,0.0
29,17,0.0,0.0,0.0
30,11,0.0,0.0,0.0
31,6,0.0,0.0,0.0
32,1,0.0,0.0,0.0
33,1,0.0,0.0,0.0
34,7,0.0,0.0,0.0
35,23,0.0,0.0,0.0
36,4,0.0,0.0,0.0
37,4,0.0,0.0,0.0
38,4,0.0,0.0,0.0
39,2,0.0,0.0,0.0
40,7,0.0,0.0,0.0
41,3,0.0,0.0,0.0
42,6,0.0,0.0,0.0
43,4,0.0,0.0,0.0
44,5,0.0,0.0,0.0
45,9,2.0,0.0,0.0
46,6,0.0,0.0,0.0
47,7,0.0,0.0,0.0
48,7,0.0,0.0,0.0
49,10,5.0,0.0,0.0
50,29,8.0,9.0,10.0
51,18,0.0,0.0,0.0
52,3,0.0,0.0,0.0
53,7,0.0,0.0,0.0
54,16,0.0,0.0,0.0
55,4,0.0,0.0,0.0
56,3,0.0,0.0,0.0
57,22,8.0,9.0,16.0
58,8,5.0,0.0,0.0
59,17,9.0,10.0,0.0
60,4,0.0,0.0,0.0
61,5,0.0,0.0,0.0
62,6,0.0,0.0,0.0
63,13,0.0,0.0,0.0
64,4,0.0,0.0,0.0
65,28,5.0,5.0,24.0
66,6,0.0,0.0,0.0
67,2,0.0,0.0,0.0
68,3,0.0,0.0,0.0
69,2,0.0,0.0,0.0
70,6,3.0,0.0,0.0
71,2,0.0,0.0,0.0
72,9,0.0,0.0,0.0
73,9,0.0,0.0,0.0
74,9,0.0,0.0,0.0
75,5,0.0,0.0,0.0
76,14,0.0,0.0,0.0
77,18,6.0,7.0,0.0
78,5,0.0,0.0,0.0
79,9,0.0,0.0,0.0
80,2,0.0,0.0,0.0
81,11,2.0,4.0,5.0
