,8,5,10,9,6,4,3,2,7,11
10,"[723, 1642]","[454, 1511]","[5647, 6117]","[865, 1545]","[489, 1573]","[519, 1596]","[520, 1556]","[560, 1502]","[509, 1504]","[32, 106]"
4,"[244, 407]","[187, 392]","[1518, 1518]","[331, 439]","[198, 399]","[188, 358]","[196, 386]","[210, 412]","[195, 371]","[12, 29]"
7,"[306, 404]","[160, 390]","[1514, 1514]","[322, 384]","[183, 378]","[199, 410]","[218, 424]","[206, 386]","[227, 366]","[12, 18]"
11,"[135, 383]","[92, 361]","[1027, 1465]","[178, 361]","[79, 383]","[93, 374]","[101, 387]","[97, 370]","[98, 377]","[6, 19]"
3,"[258, 411]","[179, 399]","[1586, 1586]","[305, 414]","[203, 409]","[189, 376]","[194, 413]","[190, 395]","[181, 384]","[11, 24]"
8,"[286, 387]","[164, 382]","[1550, 1550]","[344, 402]","[164, 409]","[163, 359]","[153, 395]","[188, 393]","[159, 387]","[16, 26]"
2,"[252, 418]","[196, 399]","[1521, 1521]","[325, 411]","[185, 398]","[162, 396]","[186, 388]","[196, 382]","[180, 384]","[11, 25]"
6,"[220, 378]","[209, 408]","[1570, 1570]","[312, 394]","[196, 413]","[206, 404]","[216, 371]","[220, 413]","[222, 390]","[9, 23]"
9,"[190, 379]","[131, 363]","[1566, 1566]","[312, 396]","[151, 398]","[128, 359]","[190, 395]","[154, 374]","[154, 394]","[18, 35]"
5,"[274, 390]","[204, 376]","[1542, 1542]","[287, 359]","[214, 407]","[179, 358]","[193, 376]","[223, 430]","[233, 424]","[9, 22]"
