,3,8,11,7,2,9,6
5,"[67, 175]","[82, 169]","[110, 173]","[76, 181]","[75, 201]","[80, 168]","[70, 178]"
4,"[65, 166]","[84, 183]","[125, 158]","[80, 178]","[55, 163]","[64, 177]","[73, 178]"
6,"[86, 173]","[87, 175]","[142, 181]","[76, 151]","[91, 190]","[82, 166]","[58, 139]"
7,"[39, 182]","[60, 164]","[119, 151]","[33, 138]","[24, 139]",,
11,,"[28, 162]","[81, 166]",,,,
10,,"[130, 647]","[393, 661]",,,,
3,,"[75, 175]","[139, 184]","[58, 155]",,"[93, 189]","[69, 175]"
2,,"[71, 172]","[113, 158]","[58, 139]",,"[60, 156]",
8,,"[49, 148]","[134, 174]",,,"[68, 173]",
9,,"[46, 161]","[112, 162]",,,"[37, 168]",
